galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
65000000,65000099,-1,65000000,63000000000465,63000000000465,65000000,65000001,-1,0,63,0.0,158.4469,1611,28.764416,0.7931759,3.2024958,4709,3,0,0,147.03365,24.081434,78.38969,1981,158.4469,0.18958662,189.58675,186.00366,3.6248946,3.3558364,0.192948,15.5616665,0.8460485,0.0015422672,0.060489368,0.046276677,0.0012158133,0.15257543,0.01245741,5.7598705,0.0,44.20236,0.026611837,0.09067286,-21.360468,-21.774214,-22.268297,-22.744133,-24.137783,-16.736006,-17.560017,-18.25437,-18.826727,-20.223604,-21.171038,-21.626694,-22.152103,-22.660414,-24.113146,7.3750153,556
65000001,65000099,65000000,65000001,62000000000469,62000000000469,65000000,65000002,-1,0,62,0.019932542,164.12723,1611,28.73381,0.7838565,3.1841943,4709,3,0,0,145.90492,23.446918,77.843956,1999,164.12723,0.19086036,192.31024,192.0707,3.501499,3.2927,0.192948,16.677967,0.8850353,0.001540373,0.05932105,0.045220092,0.0012158133,0.15064593,0.01328847,5.688539,0.0,44.24009,0.026002815,0.089086205,-21.326614,-21.744793,-22.244171,-22.724293,-24.12308,-16.760485,-17.582933,-18.276102,-18.847153,-20.241894,-21.07727,-21.561533,-22.103342,-22.623247,-24.09222,7.2504935,867
65000002,65000099,65000001,65000002,61000000000477,61000000000477,65000000,65000003,-1,0,61,0.041403063,164.12723,1611,28.711893,0.7847855,3.1590993,4709,3,0,0,143.33684,21.661081,78.213036,1985,164.12723,0.18980029,192.84654,205.41959,3.3567305,3.227405,0.192948,16.806828,0.94247246,0.0015383015,0.05843888,0.044103827,0.0012158133,0.14677669,0.0143925855,5.1507874,0.0,44.245052,0.026580708,0.08790899,-21.25087,-21.687883,-22.199894,-22.688606,-24.098751,-16.786528,-17.607124,-18.298876,-18.868435,-20.260857,-21.090395,-21.560303,-22.098116,-22.614677,-24.076725,7.1185527,130
65000003,65000099,65000002,65000003,60000000000466,60000000000466,65000000,65000004,-1,0,60,0.064493395,161.71739,1611,28.702827,0.79013777,3.1307595,4709,3,0,0,145.32184,23.64366,77.30807,2017,161.71739,0.18771017,192.48834,227.73763,3.1641493,3.1657114,0.192948,16.572977,1.0181671,0.0015361337,0.05749904,0.04301193,0.0012158133,0.14390922,0.015767071,4.6198173,0.0,44.244442,0.026743045,0.08732639,-21.177982,-21.636591,-22.16199,-22.659262,-24.081305,-16.814392,-17.632849,-18.323017,-18.891052,-20.281765,-21.01402,-21.509825,-22.061684,-22.586296,-24.059042,6.9666634,719
65000004,65000099,65000003,65000004,59000000000479,59000000000479,65000000,65000005,-1,0,59,0.08928783,157.6723,1611,28.706476,0.79627126,3.1085746,4709,3,0,0,140.3683,19.472979,71.398506,1930,157.6723,0.18487652,191.51677,209.7817,2.9223034,3.1081738,0.192948,16.082367,1.1084956,0.0015339121,0.056462254,0.041939903,0.0012158133,0.14071003,0.017393528,4.048487,0.0,44.235897,0.026656477,0.0868836,-21.113394,-21.595188,-22.133076,-22.637812,-24.070194,-16.844187,-17.660278,-18.348694,-18.915167,-20.304268,-20.885397,-21.429564,-22.003454,-22.541967,-24.03771,6.793596,495
65000005,65000099,65000004,65000005,58000000000457,58000000000457,65000000,65000006,-1,0,58,0.11588337,149.49608,1611,28.687963,0.7958785,3.1030016,4709,3,0,0,128.23306,12.070684,59.836075,1752,149.49608,0.18027614,188.84946,187.4474,2.6443293,3.0559094,0.192948,14.897416,1.2147081,0.0015317103,0.055363532,0.040894743,0.0012158133,0.13730603,0.019299233,4.233154,0.0,44.197,0.023822714,0.086842835,-21.122856,-21.60559,-22.144958,-22.652304,-24.087896,-16.87546,-17.689035,-18.375586,-18.940372,-20.328,-20.910599,-21.437504,-22.009886,-22.552942,-24.057001,6.596946,477
65000006,65000099,65000005,65000006,57000000000473,57000000000473,65000000,65000007,-1,0,57,0.14438343,111.28291,1611,28.660316,0.80048,3.0939972,4709,3,0,0,125.82318,6.527038,48.08782,1627,111.28291,0.16204922,171.85443,186.23729,2.5624502,2.999441,0.192948,8.393145,1.3242537,0.0015299991,0.055590685,0.039684758,0.0012158133,0.13184936,0.021266114,4.7080345,0.0,43.93279,0.021401556,0.09223815,-21.153023,-21.62733,-22.163233,-22.66961,-24.101198,-16.908524,-17.719316,-18.403767,-18.966711,-20.352262,-20.826887,-21.381453,-21.963806,-22.515884,-24.042538,6.397561,548
65000007,65000099,65000006,65000007,56000000000444,56000000000444,65000000,65000008,-1,0,56,0.17489761,99.40585,1611,28.625679,0.80213445,3.0823264,4709,3,0,0,129.03668,7.115391,47.974747,1571,99.40585,0.15466774,166.25552,183.76193,2.644613,2.934748,0.192948,6.3175206,1.3475802,0.0015288662,0.05541697,0.038302906,0.0012158133,0.12919863,0.021377172,4.5827346,0.0,43.808487,0.022325892,0.09318292,-21.146433,-21.624025,-22.160357,-22.665098,-24.09221,-16.943512,-17.751207,-18.433325,-18.994246,-20.377825,-20.873674,-21.412745,-21.988611,-22.534891,-24.046476,6.204695,999
65000008,65000099,65000007,65000008,55000000000444,55000000000444,65000000,65000009,-1,0,55,0.20754863,97.42634,1611,28.58369,0.8023234,3.0702116,4709,3,0,0,128.68144,7.691649,42.366146,1472,97.42634,0.15212414,165.96217,180.8986,2.7457242,2.8700752,0.192948,5.915831,1.3212202,0.0015278822,0.05382312,0.036991786,0.0012158133,0.128405,0.01980786,5.7474318,0.0,43.80128,0.019909352,0.093071006,-21.220257,-21.673769,-22.201477,-22.699959,-24.114824,-16.981838,-17.786327,-18.466087,-19.025023,-20.406893,-20.8981,-21.423521,-21.99524,-22.54081,-24.055248,6.001501,236
65000009,65000099,65000008,65000009,54000000000407,54000000000407,65000000,65000010,-1,0,54,0.24246909,96.479614,1611,28.55209,0.8104822,3.0605233,4709,3,0,0,130.51842,4.8136463,41.063,1414,96.479614,0.14999647,166.32104,180.42108,2.970572,2.7870197,0.192948,5.62686,1.2280847,0.0015269174,0.052353654,0.035446927,0.0012158133,0.12815607,0.01629517,4.594469,0.0,43.80275,0.02499306,0.0925894,-21.118097,-21.594305,-22.12814,-22.627996,-24.042439,-17.023619,-17.824705,-18.502054,-19.058794,-20.43903,-20.942026,-21.456837,-22.016867,-22.544804,-24.014778,5.8277955,509
