galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
64000000,64000180,-1,64000000,63000000000462,63000000000462,64000000,64000001,-1,0,63,0.0,128.32391,2328,22.676672,23.826263,10.319259,15465,2,2,1,205.76678,23.291565,134.14273,1999,128.32391,0.17671862,176.71873,191.79375,1.1631341,4.313579,1.663724,13.888083,0.7294064,0.0026249217,0.022794755,0.056089304,0.018533366,0.15957364,0.007857674,2.678047,0.0,0.0,0.021687532,0.10096845,-20.964907,-21.5698,-22.164383,-22.706251,-24.176485,-19.049944,-19.924854,-20.64278,-21.257156,-22.7873,-20.899448,-21.519655,-22.12533,-22.678469,-24.168484,7.5226965,435
64000001,64000152,64000000,64000001,62000000000461,62000000000461,64000000,64000002,64000153,0,62,0.019932542,128.84032,2328,22.639198,23.821941,10.289413,15465,2,2,1,207.93071,28.451056,135.30959,2065,128.84032,0.17606491,177.40239,197.07338,1.3029732,4.2842236,1.663724,13.840042,0.7486877,0.0025218267,0.025078837,0.055528503,0.018533366,0.15606633,0.00802956,5.095724,6.3450545E-7,42.739403,0.02314438,0.09947639,-20.99563,-21.593054,-22.182844,-22.72199,-24.19137,-19.082447,-19.954308,-20.670134,-21.28254,-22.810406,-20.925295,-21.540918,-22.14276,-22.693596,-24.183147,7.3100486,603
64000002,64000110,64000001,64000002,61000000000469,61000000000469,64000000,64000003,64000111,0,61,0.041403063,127.80752,2328,22.5908,23.815886,10.258131,15465,2,2,1,209.46834,27.449533,134.93388,1974,127.80752,0.17461792,177.42049,197.8082,1.6137791,4.1127324,1.550724,13.352683,0.72582436,0.0021451793,0.028221466,0.05352935,0.017576609,0.15031683,0.007719004,1.9489659,0.0,43.761242,0.022772199,0.097675025,-20.924116,-21.541351,-22.143051,-22.68836,-24.163132,-19.045376,-19.914598,-20.628168,-21.239035,-22.767239,-20.830389,-21.475918,-22.093706,-22.65348,-24.152782,7.056169,39
64000003,64000110,64000002,64000003,60000000000463,60000000000463,64000000,64000004,-1,0,60,0.064493395,128.5821,2328,22.533981,23.809633,10.216965,15465,2,2,1,213.32611,30.695185,136.03197,1906,128.5821,0.17389846,178.32506,197.26944,1.527448,4.089389,1.550724,13.549467,0.7647807,0.002142741,0.027098548,0.053119637,0.017576609,0.15006831,0.008109067,2.7345898,0.0,43.79458,0.018185342,0.097016916,-21.049747,-21.625826,-22.209776,-22.745077,-24.207405,-19.083231,-19.948452,-20.659216,-21.267384,-22.79207,-20.896635,-21.520445,-22.130402,-22.68844,-24.189732,6.8077836,160
64000004,64000110,64000003,64000004,59000000000481,59000000000481,64000000,64000005,-1,0,59,0.08928783,127.37719,2328,22.485542,23.805021,10.18532,15465,2,2,1,214.13866,36.74931,137.21243,1859,127.37719,0.17218441,178.3688,196.40297,1.4975233,4.055331,1.550724,13.374272,0.79736435,0.0021401846,0.026588852,0.05251716,0.017576609,0.1489674,0.008424242,4.509686,0.0,43.809597,0.013538205,0.09652309,-21.192451,-21.720205,-22.286081,-22.81119,-24.259016,-19.124567,-19.985502,-20.693277,-21.298622,-22.819847,-20.99151,-21.569736,-22.169127,-22.727184,-24.23386,6.5643964,148
64000005,64000110,64000004,64000005,58000000000460,58000000000460,64000000,64000006,-1,0,58,0.11588337,124.88129,2328,22.418463,23.795881,10.144084,15464,2,2,1,210.65407,38.16897,137.48198,1830,124.88129,0.16978297,177.85725,196.41331,1.6304795,3.997114,1.550724,12.866502,0.7941518,0.0021375793,0.027575025,0.051510677,0.017576609,0.14575043,0.008320787,2.6179447,0.0,43.799847,0.019835837,0.09571437,-21.015411,-21.616137,-22.211987,-22.752497,-24.217916,-19.169731,-20.026045,-20.730577,-21.3329,-22.850613,-20.904657,-21.535795,-22.149927,-22.707842,-24.204235,6.347451,110
64000006,64000110,64000005,64000006,57000000000462,57000000000462,64000000,64000007,-1,0,57,0.14438343,121.43866,2328,22.362076,23.7925,10.097333,15464,2,2,1,211.25493,40.695766,138.55089,1871,121.43866,0.166836,176.93085,191.97375,1.5891193,3.9621913,1.550724,12.305716,0.8332286,0.0021349723,0.026582884,0.050924644,0.017576609,0.14485914,0.008659511,2.7926345,0.0,43.806904,0.01863475,0.0957307,-21.055029,-21.652386,-22.246193,-22.784649,-24.24715,-19.218672,-20.069962,-20.77103,-21.370287,-22.88467,-20.926481,-21.560104,-22.174679,-22.732708,-24.23063,6.0813994,230
64000007,64000110,64000006,64000007,56000000000439,56000000000439,64000000,64000008,-1,0,56,0.17489761,118.254234,2328,22.301119,23.780083,10.063119,15464,2,2,1,209.20264,44.07313,140.66066,1831,118.254234,0.16388328,176.1615,190.84814,1.5548534,3.9238183,1.550724,11.7841625,0.87226737,0.0021323739,0.025407724,0.050291568,0.017576609,0.14405073,0.008942256,2.8784106,0.0,43.81874,0.017858256,0.09572189,-21.088003,-21.684984,-22.27723,-22.813433,-24.271864,-19.274088,-20.120579,-20.818506,-21.415298,-22.928043,-20.982243,-21.606739,-22.21615,-22.76925,-24.258263,5.80904,948
64000008,64000110,64000007,64000008,55000000000441,55000000000441,64000000,64000009,-1,0,55,0.20754863,116.016525,2328,22.23432,23.758947,10.024414,15464,2,2,1,207.90524,45.56187,141.24577,1786,116.016525,0.16124241,175.90988,192.09845,1.5129755,3.8831973,1.550724,11.4219,0.91045165,0.0021297706,0.023823189,0.04964131,0.017576609,0.1434469,0.009143937,2.8017821,0.0,43.84137,0.017421067,0.09549303,-21.123217,-21.72181,-22.312775,-22.84697,-24.30416,-19.337412,-20.179077,-20.873955,-21.468334,-22.97969,-20.987179,-21.626076,-22.237917,-22.791456,-24.284962,5.528893,186
64000009,64000110,64000008,64000009,54000000000404,54000000000404,64000000,64000010,-1,0,54,0.24246909,119.71735,2328,22.168552,23.73989,9.975932,15464,2,2,1,208.55351,48.066696,140.91386,1741,119.71735,0.16118386,178.726,193.34187,1.4151785,3.8427086,1.550724,12.114665,0.9585313,0.0021270248,0.021432858,0.049018815,0.017576609,0.14354253,0.009428693,3.5896957,0.0,43.906845,0.014212213,0.09381859,-21.228092,-21.801329,-22.380081,-22.90586,-24.353792,-19.408392,-20.242922,-20.933275,-21.523739,-23.031397,-21.10903,-21.711031,-22.309374,-22.854988,-24.33861,5.238057,879
64000010,64000110,64000009,64000010,53000000000425,53000000000425,64000000,64000011,-1,0,53,0.2798018,120.405876,2328,22.100767,23.720137,9.9345,15464,2,2,1,208.66809,52.039165,138.4766,1608,120.405876,0.15958822,180.13304,196.5926,1.3666639,3.789748,1.550724,12.25023,1.0086526,0.002124082,0.01915807,0.04824913,0.017576609,0.14291269,0.009725471,2.6647477,0.0,43.957592,0.01255344,0.09286203,-21.277327,-21.847614,-22.422537,-22.943571,-24.386759,-19.491121,-20.316103,-21.000343,-21.585297,-23.087372,-21.108494,-21.724516,-22.326736,-22.873964,-24.36475,4.954235,738
64000011,64000110,64000010,64000011,52000000000424,52000000000424,64000000,64000012,-1,0,52,0.31970343,118.85669,2328,22.023823,23.694302,9.889,15464,2,2,1,205.4826,53.778465,141.18097,1561,118.85669,0.1568528,180.52429,205.63348,0.5205083,3.7497284,1.550724,13.785051,1.084721,0.0021173984,0.008909085,0.04768673,0.017576609,0.14076236,0.010341148,4.3942914,0.0,44.063576,0.004378835,0.093132265,-21.417782,-21.954363,-22.512877,-23.023584,-24.45315,-19.587997,-20.400642,-21.07668,-21.653666,-23.147076,-20.822374,-21.501719,-22.144253,-22.738073,-24.334225,4.644715,608
64000012,64000110,64000011,64000012,51000000000450,51000000000450,64000000,64000013,-1,0,51,0.36234027,117.90997,2328,21.934275,23.672018,9.840215,15464,2,2,1,202.78891,64.904816,132.48483,1480,117.90997,0.15423459,181.32361,200.69649,0.39657682,3.6827574,1.550724,13.523595,1.1648139,0.0021138825,0.007635716,0.046529476,0.017576609,0.13897482,0.01103054,6.377914,0.0,44.083076,0.0031046993,0.09175197,-21.521362,-22.034792,-22.582102,-23.085085,-24.506845,-19.705553,-20.501085,-21.165613,-21.7313,-23.212482,-20.67818,-21.37805,-22.038616,-22.657185,-24.32931,4.359777,439
64000013,64000110,64000012,64000013,50000000000451,50000000000451,64000000,64000014,-1,0,50,0.40789944,107.151764,2328,21.848167,23.645113,9.792199,15464,2,2,1,201.52586,62.130733,134.62971,1463,107.151764,0.14710325,176.99399,193.96542,0.5404828,3.584406,1.550724,11.376579,1.2069849,0.0021105765,0.01038406,0.044622045,0.017576609,0.13185203,0.011195747,6.241946,0.0,44.013565,0.004184587,0.09140231,-21.530546,-22.052523,-22.600664,-23.09929,-24.516224,-19.856014,-20.627361,-21.27647,-21.828112,-23.29891,-20.853018,-21.530968,-22.170874,-22.761038,-24.366192,4.1034083,978
64000014,64000110,64000013,64000014,49000000000427,49000000000427,64000000,64000015,-1,0,49,0.45657724,103.19274,2329,21.765148,23.624472,9.74491,15436,2,2,1,198.81697,57.30729,129.97221,1344,103.19274,0.14284661,176.26236,183.66324,0.6906714,3.4873214,1.550724,10.600075,1.2351094,0.0021075644,0.011663262,0.04286829,0.017576609,0.12713602,0.010972618,2.6812327,0.0,44.011982,0.0069420785,0.0901361,-21.471807,-22.036718,-22.593203,-23.089941,-24.511295,-20.067389,-20.79656,-21.42128,-21.954218,-23.41165,-21.164627,-21.80705,-22.40937,-22.951353,-24.462543,3.838387,457
64000015,64000110,64000014,64000015,48000000000410,48000000000410,64000000,64000016,-1,0,48,0.5085914,103.36487,2329,21.68317,23.601234,9.683952,15436,2,2,1,192.10194,60.598907,128.87485,1366,103.36487,0.14033918,177.97827,183.25728,0.34503108,3.4453902,1.550724,11.359269,1.363111,0.0021043762,0.0073522865,0.04214583,0.017576609,0.12673146,0.011836644,9.593265,0.0,44.096546,0.0024263316,0.08923939,-21.817247,-22.284672,-22.79474,-23.266949,-24.656515,-20.377493,-21.015257,-21.591845,-22.094818,-23.519382,-20.893055,-21.525635,-22.13876,-22.72491,-24.414295,3.507354,592
64000016,64000110,64000015,64000016,47000000000411,47000000000411,64000000,64000017,-1,0,47,0.5641766,99.23372,2329,21.602726,23.573431,9.632705,15436,2,2,1,189.26949,58.21921,125.42771,1356,99.23372,0.13573019,177.32149,187.2015,0.78733724,3.2950308,0.41873807,10.373788,1.3595355,0.002101209,0.016305853,0.038904242,0.0041444926,0.11378657,0.01114171,13.110491,8.384182E-9,44.0399,0.0053234706,0.08521137,-21.903147,-22.346607,-22.83772,-23.295883,-24.666107,-18.005074,-18.822906,-19.505749,-20.08127,-21.547665,-21.024076,-21.621477,-22.237429,-22.840162,-24.514107,3.280757,227
64000017,64000080,64000016,64000017,46000000000424,46000000000424,64000000,64000018,64000081,0,46,0.6235901,98.5452,2329,21.513126,23.552952,9.577847,15436,2,2,1,183.93016,58.31702,125.83235,1276,98.5452,0.13254723,178.81435,196.7174,1.60092,2.7980132,0.12699723,9.734779,1.2549882,0.0011733957,0.027819447,0.03176329,9.152035E-4,0.09659215,0.0093781,13.554526,0.0,44.348816,0.0063645,0.078455545,-22.07574,-22.441946,-22.89715,-23.331505,-24.658466,-16.927704,-17.700779,-18.35324,-18.888844,-20.268505,-21.039326,-21.582624,-22.171806,-22.762348,-24.43584,2.8147206,701
64000018,64000080,64000017,64000018,45000000000401,45000000000401,64000000,64000019,-1,0,45,0.6871088,98.71732,2330,21.428398,23.531336,9.499329,15429,2,2,1,186.3745,56.74062,128.33995,1341,98.71732,0.12959675,180.99626,193.12164,1.9006615,2.5867124,0.12699723,9.787997,1.1464641,0.0011717204,0.030736877,0.028257534,9.152035E-4,0.0875809,0.007826028,13.940913,0.0,44.359356,0.0074209645,0.07423487,-22.086542,-22.434855,-22.877352,-23.302095,-24.612667,-16.993246,-17.758934,-18.405766,-18.936663,-20.313587,-21.29956,-21.788147,-22.342047,-22.895287,-24.47506,2.6542184,854
64000019,64000080,64000018,64000019,44000000000379,44000000000379,64000000,64000020,-1,0,44,0.75503564,97.08208,2330,21.33166,23.491865,9.441131,15429,2,2,1,178.28406,52.933723,131.70477,1305,97.08208,0.12571494,182.24098,190.61624,2.2789912,2.37107,0.12699723,9.397109,1.0444521,0.0011700307,0.03331968,0.02496135,9.152035E-4,0.07708734,0.0065080817,16.710508,3.483819E-8,44.34818,0.008325475,0.06971351,-22.114023,-22.436981,-22.864388,-23.277391,-24.56564,-17.065239,-17.824055,-18.465742,-18.99239,-20.36759,-21.366407,-21.828238,-22.354486,-22.878403,-24.408504,2.5063987,798
64000020,64000065,64000019,64000020,43000000000373,43000000000373,64000000,64000021,64000066,0,43,0.8276991,104.139465,2330,21.236448,23.462376,9.368715,15429,2,2,1,173.70908,65.79484,141.65208,1140,104.139465,0.12530601,189.05653,180.63673,2.8352718,2.108905,0.12043021,10.693847,0.90724766,0.0010690162,0.035763104,0.021504208,8.8851E-4,0.06495484,0.0053346483,10.38285,0.0,44.426067,0.013192001,0.06285824,-21.873878,-22.230827,-22.67405,-23.091402,-24.386568,-17.076153,-17.83406,-18.474726,-19.00168,-20.385666,-21.528137,-21.962236,-22.455057,-22.923464,-24.32428,2.413679,577
64000021,64000065,64000020,64000021,42000000000387,42000000000387,64000000,64000022,-1,0,42,0.9054624,100.524704,2277,21.170326,23.418573,9.291454,14551,2,2,1,178.40564,73.29312,146.9708,1079,100.524704,0.12035881,189.5254,182.24182,2.7315698,1.9524021,0.12043021,10.268567,0.9778332,0.0010672482,0.034362838,0.019554704,8.8851E-4,0.059496436,0.0057403333,9.400006,0.0,44.430695,0.013575527,0.06037913,-21.827173,-22.197393,-22.648626,-23.070496,-24.382322,-17.180115,-17.93247,-18.56884,-19.09189,-20.474201,-21.571802,-21.994513,-22.484598,-22.94852,-24.342943,2.2304986,156
64000022,64000065,64000021,64000022,41000000000383,41000000000383,64000000,64000023,-1,0,41,0.98870814,95.44683,2277,21.074755,23.383915,9.20983,14551,2,2,1,177.63612,76.313705,152.52399,1009,95.44683,0.11475552,189.13153,182.44194,2.5408144,1.8132771,0.12043021,9.590412,1.0856156,0.001065535,0.032962024,0.017798869,8.8851E-4,0.053915024,0.00639155,8.255938,0.0,44.418575,0.013909346,0.05786353,-21.781067,-22.155872,-22.603243,-23.016886,-24.305103,-17.296873,-18.03946,-18.66781,-19.18252,-20.558367,-21.489132,-21.92695,-22.416885,-22.875652,-24.255987,2.0324974,29
64000023,64000065,64000022,64000023,40000000000373,40000000000373,64000000,64000024,-1,0,40,1.0778745,81.590256,2277,20.982056,23.349798,9.135696,14551,2,2,1,182.30273,60.877666,146.82632,982,81.590256,0.105446324,182.4204,189.6238,2.3788025,1.6936992,0.12043021,7.3321886,1.2377555,0.0010640455,0.03190347,0.016226925,8.8851E-4,0.048772205,0.0072718235,8.494565,0.0,44.317764,0.0128478855,0.05667512,-21.854372,-22.214184,-22.648191,-23.053387,-24.333702,-17.435204,-18.163855,-18.781733,-19.285921,-20.653734,-21.591633,-22.002184,-22.476398,-22.926311,-24.293951,1.8158023,193
64000024,64000065,64000023,64000024,39000000000378,39000000000378,64000000,64000025,-1,0,39,1.173417,72.63943,2277,20.8772,23.282566,9.085037,14551,2,2,1,194.16946,54.18316,145.29948,868,72.63943,0.09802497,178.52039,182.61128,2.3778577,1.5737337,0.12043021,5.760107,1.3546438,0.001062866,0.031018484,0.014642244,8.8851E-4,0.04370422,0.007741817,16.97569,0.011247947,44.233624,0.012919805,0.054610584,-21.998758,-22.31129,-22.70893,-23.089031,-24.32071,-17.599745,-18.30097,-18.903069,-19.395857,-20.754782,-21.68252,-22.060247,-22.50358,-22.932552,-24.265207,1.6018927,776
64000025,64000045,64000024,64000025,38000000000395,38000000000395,64000000,64000026,64000046,0,38,1.2758462,64.72138,2277,20.76392,23.268923,9.025853,14551,2,2,1,189.2867,50.13273,142.49544,852,64.72138,0.090973645,174.91862,177.179,3.060913,1.2205027,0.0,4.3215284,1.2675142,0.0,0.031208612,0.011124065,0.0,0.030687114,0.00659669,6.9620085,0.0,44.331745,0.017538378,0.047925558,-21.785122,-22.098946,-22.486494,-22.853249,-24.064346,99.0,99.0,99.0,99.0,99.0,-21.625326,-21.973335,-22.385471,-22.777903,-24.039732,1.4040624,837
64000026,64000045,64000025,64000026,37000000000416,37000000000416,64000000,64000027,-1,0,37,1.3857181,65.23778,2277,20.648464,23.250027,8.923922,14551,2,2,0,197.1633,33.506695,141.8654,819,65.23778,0.08780439,178.75633,177.83337,2.4530995,1.1279887,0.0,5.256334,1.3559079,0.0,0.025269192,0.010199775,0.0,0.02927278,0.0068147075,16.910685,0.0,44.45603,0.00773726,0.04654393,-22.201452,-22.428629,-22.7657,-23.097088,-24.229649,99.0,99.0,99.0,99.0,99.0,-21.533731,-21.87349,-22.29791,-22.72955,-24.086264,1.1873342,703
64000027,64000045,64000026,64000027,36000000000393,36000000000393,64000000,64000028,-1,0,36,1.5036365,64.63532,2277,20.532173,23.257088,8.850503,14551,2,2,0,197.45454,33.425426,144.79889,757,64.63532,0.08409972,181.80577,183.93314,2.7665005,0.91113275,0.0,5.0652914,1.3127371,0.0,0.02199259,0.0082409205,0.0,0.02216911,0.0066007413,11.379367,0.0,44.450726,0.009106791,0.041303862,-22.049648,-22.277847,-22.606092,-22.922268,-24.022434,99.0,99.0,99.0,99.0,99.0,-21.726505,-22.013275,-22.390593,-22.761316,-23.971386,1.1242799,705
64000028,64000045,64000027,64000028,35000000000399,35000000000399,64000000,64000029,-1,0,35,1.6302707,58.26646,2277,20.39526,23.185396,8.791294,14550,2,2,0,200.21973,15.318276,145.56215,640,58.26646,0.07790776,179.34485,189.47206,1.2030325,0.7707778,0.0,6.0613384,1.4451187,0.0,0.012251305,0.0071217483,0.0,0.024102625,0.007459732,14.260608,0.0,44.603886,0.0038398965,0.044486582,-22.046019,-22.250168,-22.57086,-22.885386,-23.978487,99.0,99.0,99.0,99.0,99.0,-21.01222,-21.378458,-21.842001,-22.326633,-23.78802,1.0094868,176
64000029,64000045,64000028,64000029,34000000000382,34000000000382,64000000,64000030,-1,0,34,1.766336,53.27465,2277,20.280813,23.183695,8.689921,14546,2,2,0,204.21733,41.866608,145.83939,549,53.27465,0.072379604,177.91893,176.05057,0.9256727,0.6021687,0.0,5.1900654,1.5462091,0.0,0.01058878,0.0054115257,0.0,0.017429333,0.008413572,11.353344,0.0,44.527008,0.0037621534,0.039256293,-21.745674,-21.947756,-22.267382,-22.58007,-23.664785,99.0,99.0,99.0,99.0,99.0,-20.68621,-21.046194,-21.501842,-21.979624,-23.4371,0.97020555,895
64000030,64000045,64000029,64000030,33000000000372,33000000000372,64000000,64000031,-1,0,33,1.9126327,35.37299,2277,20.141653,23.110146,8.64232,14546,2,2,0,227.67754,76.28853,128.33084,372,35.37299,0.060332246,158.79291,147.99274,0.9871198,0.47389826,0.0,1.9858474,1.7230883,0.0,0.0126934955,0.0038067116,0.0,0.007510523,0.009881842,7.091752,0.0,44.019043,0.006293097,0.03162446,-21.334982,-21.555904,-21.881855,-22.201155,-23.307308,99.0,99.0,99.0,99.0,99.0,-20.703947,-21.03549,-21.449776,-21.869688,-23.189646,0.92443496,416
64000031,64000045,64000030,64000031,32000000000332,32000000000332,64000000,64000032,-1,0,32,2.0700274,19.795105,2277,19.982872,23.067448,8.589712,14546,2,2,0,225.30772,61.021347,126.30946,339,19.795105,0.047420096,133.98854,131.81592,1.3097523,0.3975772,0.0,0.019097852,1.8691173,0.0,0.014626917,0.0028704288,0.0,1.7302163E-4,0.011360449,6.4238462,0.0,41.345245,0.008480505,0.006918192,-21.297249,-21.499464,-21.807049,-22.11435,-23.191763,99.0,99.0,99.0,99.0,99.0,-20.910007,-21.18535,-21.55098,-21.921982,-23.129633,0.8170224,533
64000032,64000045,64000031,64000032,31000000000311,31000000000311,64000000,64000033,-1,0,31,2.2394855,16.524609,2277,19.832626,23.023243,8.528918,14546,2,2,0,236.72021,41.974403,112.57206,234,16.524609,0.042513333,129.29239,130.54843,1.7759868,0.33192018,0.0,0.0070119733,1.7046494,0.0,0.015854876,0.0022181498,0.0,5.8640624E-5,0.008946211,13.837925,0.0,40.706184,0.006001189,0.004319499,-21.651754,-21.768991,-22.0175,-22.277296,-23.238403,99.0,99.0,99.0,99.0,99.0,-20.877628,-21.11465,-21.467514,-21.849463,-23.084724,0.707275,383
64000033,64000045,64000032,64000033,30000000000688,30000000000688,64000000,64000034,-1,0,30,2.422044,13.942638,2277,19.721542,23.01095,8.458267,14546,2,2,0,235.52623,36.035896,121.01665,180,13.942638,0.038186647,125.31027,137.79128,0.52530795,0.19800133,0.0,0.69025683,0.81207794,0.0,0.0044397204,0.0012591886,0.0,0.0018474146,0.0022214155,3.479393,0.0,43.729366,0.004355168,0.03682299,-20.57276,-20.739906,-21.026701,-21.314352,-22.362621,99.0,99.0,99.0,99.0,99.0,-20.269133,-20.500624,-20.838509,-21.178768,-22.324057,0.86838996,61
64000034,64000045,64000033,64000034,29000000000659,29000000000659,64000000,64000035,-1,0,29,2.6188614,11.618866,2277,19.572008,22.976215,8.40264,14546,2,2,0,220.20222,28.22717,126.22903,169,11.618866,0.034103353,121.04679,131.62976,0.4634998,0.16620812,0.0,0.50401974,0.71074486,0.0,0.0040397155,9.899406E-4,0.0,0.0010209399,0.0020438158,2.300253,0.0,43.55892,0.005448769,0.030994004,-20.245289,-20.44308,-20.751066,-21.057003,-22.146555,99.0,99.0,99.0,99.0,99.0,-20.043013,-20.2913,-20.635406,-20.975838,-22.124409,0.7945096,304
64000035,64000045,64000034,64000035,28000000000578,28000000000578,64000000,64000036,-1,0,28,2.8311827,8.520501,2300,19.4164,22.973524,8.354328,14491,2,2,0,203.19064,33.444405,125.142166,165,8.520501,0.029140562,112.1382,113.11258,0.4959305,0.1464191,0.0,0.0055279853,0.69100523,0.0,0.004024613,8.188042E-4,0.0,2.4607676E-5,0.0021848585,1.557111,0.0,40.81776,0.008126922,0.004556814,-20.081263,-20.294247,-20.60177,-20.907566,-21.966124,99.0,99.0,99.0,99.0,99.0,-19.99159,-20.226925,-20.550226,-20.871414,-21.95615,0.6809829,843
64000036,64000045,64000035,64000036,27000000000627,27000000000627,64000000,64000037,-1,0,27,3.060419,8.9508295,2300,19.300312,22.994701,8.296271,14491,2,2,0,201.48737,18.615242,121.979164,129,8.9508295,0.028026601,117.196976,117.170845,0.58531576,0.13383956,0.0,0.0049826056,0.718701,0.0,0.0040358347,7.2498777E-4,0.0,2.1299114E-5,0.0020529656,2.7739048,0.0,40.79543,0.0066363458,0.0039449614,-20.365263,-20.514036,-20.777658,-21.054253,-22.050264,99.0,99.0,99.0,99.0,99.0,-20.264307,-20.43472,-20.715391,-21.009857,-22.037773,0.54133904,6
64000037,64000045,64000036,64000037,26000000000622,26000000000622,64000000,64000038,-1,0,26,3.3080978,9.725421,2300,19.190237,22.994453,8.203965,14491,2,2,0,197.06047,11.154588,116.734436,123,9.725421,0.027219795,123.96005,134.86246,0.73225033,0.1128503,0.0,0.04758744,0.6687363,0.0,0.003825924,5.993589E-4,0.0,1.3970361E-4,0.0013745053,4.4164314,0.0,42.173073,0.0038903032,0.009252372,-20.814613,-20.882072,-21.087763,-21.304789,-22.189106,99.0,99.0,99.0,99.0,99.0,-20.336079,-20.508883,-20.800167,-21.097658,-22.134651,0.44244793,402
64000038,64000045,64000037,64000038,25000000000527,25000000000527,64000000,64000039,-1,0,25,3.575905,8.778699,2300,19.092203,22.995352,8.116148,14491,2,2,0,193.39076,8.976738,117.0993,121,8.778699,0.024816262,123.34367,126.8709,0.36856315,0.081629686,0.0,0.4416532,0.52124023,0.0,0.0023221646,4.343739E-4,0.0,5.8927794E-4,9.504839E-4,2.0188913,0.0,43.686474,0.0044422266,0.02359422,-20.051647,-20.160872,-20.396475,-20.648628,-21.605614,99.0,99.0,99.0,99.0,99.0,-19.913408,-20.05345,-20.31305,-20.589655,-21.589575,0.41584224,465
64000039,64000045,64000038,64000039,24000000000491,24000000000491,64000000,64000040,-1,0,24,3.8656828,6.282794,2300,18.983309,22.976534,8.045451,14491,2,2,0,185.90245,7.1259623,118.14914,108,6.282794,0.020911494,113.67209,115.5424,0.34173945,0.06832936,0.0,0.04868325,0.542742,0.0,0.002077547,3.4957498E-4,0.0,1.16881325E-4,0.0010522798,2.4149566,0.0,42.344376,0.0029213706,0.010374369,-20.198864,-20.266401,-20.476227,-20.704956,-21.62146,99.0,99.0,99.0,99.0,99.0,-19.837969,-19.986961,-20.260632,-20.553183,-21.581348,0.32342103,256
64000040,64000045,64000039,64000040,23000000000409,23000000000409,64000000,64000041,-1,0,23,4.1794686,5.2500057,2300,18.909006,22.985796,8.001052,14491,2,2,0,184.76944,6.5032487,116.81237,104,5.2500057,0.018530006,110.38551,114.76761,0.2331861,0.053538375,0.0,0.04797219,0.50277066,0.0,0.0015629736,2.5414553E-4,0.0,1.1862427E-4,8.820666E-4,2.015863,0.0,42.461864,0.0024583647,0.011248107,-20.032598,-20.097126,-20.306906,-20.54282,-21.461048,99.0,99.0,99.0,99.0,99.0,-19.62844,-19.784756,-20.065783,-20.373932,-21.416471,0.24813448,430
64000041,64000045,64000040,64000041,22000000000739,22000000000739,64000000,64000042,-1,0,22,4.5195556,4.5614805,2300,18.799646,22.971655,7.943157,14491,2,2,0,174.34538,6.242763,94.48552,54,4.5614805,0.016612602,108.668594,118.721085,0.16572313,0.042085122,0.0,0.035679556,0.48758838,0.0,0.0012202299,1.7671459E-4,0.0,9.065962E-5,7.274026E-4,3.828973,0.0,42.32044,0.0012886496,0.009797618,-20.19412,-20.212639,-20.395882,-20.606884,-21.485601,99.0,99.0,99.0,99.0,99.0,-19.288595,-19.474747,-19.79787,-20.163837,-21.339388,0.16329087,769
64000042,64000045,64000041,64000042,21000000000608,21000000000608,64000000,64000043,-1,0,21,4.888449,3.5286925,2300,18.695698,22.963415,7.893745,14491,2,2,0,172.519,5.8663225,91.65285,52,3.5286925,0.014309525,102.982704,108.895996,0.19969185,0.021949997,0.0,0.030638274,0.3131133,0.0,8.373975E-4,5.8785783E-5,0.0,3.5734713E-5,2.2334493E-4,2.500919,0.0,42.212524,0.0016511268,0.007873729,-19.700254,-19.725647,-19.907482,-20.103922,-20.895119,99.0,99.0,99.0,99.0,99.0,-19.408527,-19.487741,-19.715857,-19.96196,-20.850191,0.12933391,605
64000043,64000045,64000042,64000043,20000000000532,20000000000532,64000000,64000044,-1,0,20,5.2888336,2.2377074,2300,18.626308,22.969137,7.827307,14491,2,2,0,155.8068,1.173644,87.780396,48,2.2377074,0.011521131,91.39534,98.25019,0.15569462,0.009806718,0.0,0.011141571,0.17823473,0.0,4.300513E-4,1.4587279E-5,0.0,7.721696E-6,6.3782754E-5,0.9794503,0.0,41.796597,0.0029914929,0.007047248,-18.595871,-18.615217,-18.796827,-18.998413,-19.737236,99.0,99.0,99.0,99.0,99.0,-18.555532,-18.583424,-18.77183,-18.9804,-19.731796,0.108466424,190
